Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Season,Point_per_match,Win_percentage
1,Barcelona (C),38,28,4,6,102,39,63,88,24/25,2.32,73.68
2,Real Madrid,38,26,6,6,78,38,40,84,24/25,2.21,68.42
3,Atletico Madrid,38,22,10,6,68,30,38,76,24/25,2.0,57.89
4,Athletic Bilbao,38,19,13,6,54,29,25,70,24/25,1.84,50.0
1,Real Madrid (C),38,29,8,1,87,26,61,95,23/24,2.5,76.32
2,Barcelona,38,26,7,5,79,44,35,85,23/24,2.24,68.42
3,Girona,38,25,6,7,85,46,39,81,23/24,2.13,65.79
4,Atletico Madrid,38,24,4,10,70,43,27,76,23/24,2.0,63.16
1,Barcelona (C),38,28,4,6,70,20,50,88,22/23,2.32,73.68
2,Real Madrid,38,24,6,8,75,36,39,78,22/23,2.05,63.16
3,Atletico Madrid,38,23,8,7,70,33,37,77,22/23,2.03,60.53
4,Real Sociedad,38,21,8,9,51,35,16,71,22/23,1.87,55.26
1,Real Madrid (C),38,26,8,4,80,31,49,86,21/22,2.26,68.42
2,Barcelona,38,21,10,7,68,38,30,73,21/22,1.92,55.26
3,Atletico Madrid,38,21,8,9,65,43,22,71,21/22,1.87,55.26
4,Sevilla,38,18,16,4,53,30,23,70,21/22,1.84,47.37
1,Atletico Madrid (C),38,26,8,4,67,25,42,86,20/21,2.26,68.42
2,Real Madrid,38,25,9,4,67,28,39,84,20/21,2.21,65.79
3,Barcelona,38,24,7,7,85,38,47,79,20/21,2.08,63.16
4,Sevilla,38,24,5,9,53,33,20,77,20/21,2.03,63.16
1,Real Madrid (C),38,26,9,3,70,25,45,87,19/20,2.29,68.42
2,Barcelona,38,25,7,6,86,38,48,82,19/20,2.16,65.79
3,Atletico Madrid,38,18,16,4,51,27,24,70,19/20,1.84,47.37
4,Sevilla,38,19,13,6,54,34,20,70,19/20,1.84,50.0
1,Barcelona (C),38,26,9,3,90,36,54,87,18/19,2.29,68.42
2,Atletico Madrid,38,22,10,6,55,29,26,76,18/19,2.0,57.89
3,Real Madrid,38,21,5,12,63,46,17,68,18/19,1.79,55.26
4,Valencia,38,15,16,7,51,35,16,61,18/19,1.61,39.47
1,Barcelona (C),38,28,9,1,99,29,70,93,17/18,2.45,73.68
2,Atletico Madrid,38,23,10,5,58,22,36,79,17/18,2.08,60.53
3,Real Madrid,38,22,10,6,94,44,50,76,17/18,2.0,57.89
4,Valencia,38,22,7,9,65,38,27,73,17/18,1.92,57.89
1,Real Madrid (C),38,29,6,3,106,41,65,93,16/17,2.45,76.32
2,Barcelona,38,28,6,4,116,37,79,90,16/17,2.37,73.68
3,Atletico Madrid,38,23,9,6,70,27,43,78,16/17,2.05,60.53
4,Sevilla,38,21,9,8,69,49,20,72,16/17,1.89,55.26
1,Barcelona (C),38,29,4,5,112,29,83,91,15/16,2.39,76.32
2,Real Madrid,38,28,6,4,110,34,76,90,15/16,2.37,73.68
3,Atletico Madrid,38,28,4,6,63,18,45,88,15/16,2.32,73.68
4,Villarreal,38,18,10,10,44,35,9,64,15/16,1.68,47.37
1,Barcelona (C),38,30,4,4,110,21,89,94,14/15,2.47,78.95
2,Real Madrid,38,30,2,6,118,38,80,92,14/15,2.42,78.95
3,Atletico Madrid,38,23,9,6,67,29,38,78,14/15,2.05,60.53
4,Valencia,38,22,11,5,70,32,38,77,14/15,2.03,57.89
